,Datetime_last_data,Datetime_pred,y_true,y_pred
0,2006-04-09 20:00:00,2006-04-10 02:00:00,-43.0,-43.88239
1,2006-04-09 21:00:00,2006-04-10 03:00:00,-51.0,-40.54307
2,2006-04-09 22:00:00,2006-04-10 04:00:00,-55.0,-38.625584
3,2006-04-09 23:00:00,2006-04-10 05:00:00,-48.0,-35.099403
4,2006-04-10 00:00:00,2006-04-10 06:00:00,-43.0,-33.19017
5,2006-04-10 01:00:00,2006-04-10 07:00:00,-42.0,-33.87034
6,2006-04-10 02:00:00,2006-04-10 08:00:00,-33.0,-35.27424
7,2006-04-10 03:00:00,2006-04-10 09:00:00,-27.0,-37.199947
8,2006-04-10 04:00:00,2006-04-10 10:00:00,-26.0,-38.740704
9,2006-04-10 05:00:00,2006-04-10 11:00:00,-27.0,-38.69734
10,2006-04-10 06:00:00,2006-04-10 12:00:00,-32.0,-39.198
11,2006-04-10 07:00:00,2006-04-10 13:00:00,-36.0,-39.336258
12,2006-04-10 08:00:00,2006-04-10 14:00:00,-37.0,-35.563007
13,2006-04-10 09:00:00,2006-04-10 15:00:00,-39.0,-32.13832
14,2006-04-10 10:00:00,2006-04-10 16:00:00,-41.0,-31.479155
15,2006-04-10 11:00:00,2006-04-10 17:00:00,-39.0,-31.21014
16,2006-04-10 12:00:00,2006-04-10 18:00:00,-36.0,-31.562
17,2006-04-10 13:00:00,2006-04-10 19:00:00,-36.0,-30.18335
18,2006-04-10 14:00:00,2006-04-10 20:00:00,-35.0,-30.565134
19,2006-04-10 15:00:00,2006-04-10 21:00:00,-36.0,-32.550167
20,2006-04-10 16:00:00,2006-04-10 22:00:00,-35.0,-32.56727
21,2006-04-10 17:00:00,2006-04-10 23:00:00,-31.0,-31.376575
22,2006-04-10 18:00:00,2006-04-11 00:00:00,-24.0,-31.210617
23,2006-04-10 19:00:00,2006-04-11 01:00:00,-22.0,-31.442238
24,2006-04-10 20:00:00,2006-04-11 02:00:00,-24.0,-30.890736
25,2006-04-10 21:00:00,2006-04-11 03:00:00,-28.0,-30.810398
26,2006-04-10 22:00:00,2006-04-11 04:00:00,-30.0,-31.156519
27,2006-04-10 23:00:00,2006-04-11 05:00:00,-27.0,-29.319635
28,2006-04-11 00:00:00,2006-04-11 06:00:00,-24.0,-26.97191
29,2006-04-11 01:00:00,2006-04-11 07:00:00,-24.0,-26.24796
30,2006-04-11 02:00:00,2006-04-11 08:00:00,-23.0,-27.217278
31,2006-04-11 03:00:00,2006-04-11 09:00:00,-19.0,-25.611088
32,2006-04-11 04:00:00,2006-04-11 10:00:00,-18.0,-24.969742
33,2006-04-11 05:00:00,2006-04-11 11:00:00,-18.0,-24.53057
34,2006-04-11 06:00:00,2006-04-11 12:00:00,-22.0,-23.265985
35,2006-04-11 07:00:00,2006-04-11 13:00:00,-24.0,-22.99121
36,2006-04-11 08:00:00,2006-04-11 14:00:00,-25.0,-21.891447
37,2006-04-11 09:00:00,2006-04-11 15:00:00,-26.0,-19.566628
38,2006-04-11 10:00:00,2006-04-11 16:00:00,-26.0,-18.474396
39,2006-04-11 11:00:00,2006-04-11 17:00:00,-24.0,-19.988491
40,2006-04-11 12:00:00,2006-04-11 18:00:00,-23.0,-20.18033
41,2006-04-11 13:00:00,2006-04-11 19:00:00,-23.0,-20.198586
42,2006-04-11 14:00:00,2006-04-11 20:00:00,-24.0,-20.086468
43,2006-04-11 15:00:00,2006-04-11 21:00:00,-23.0,-21.610474
44,2006-04-11 16:00:00,2006-04-11 22:00:00,-24.0,-21.736055
45,2006-04-11 17:00:00,2006-04-11 23:00:00,-20.0,-23.18261
46,2006-04-11 18:00:00,2006-04-12 00:00:00,-14.0,-20.992535
47,2006-04-11 19:00:00,2006-04-12 01:00:00,-17.0,-20.627314
48,2006-04-11 20:00:00,2006-04-12 02:00:00,-21.0,-20.92128
49,2006-04-11 21:00:00,2006-04-12 03:00:00,-21.0,-20.638445
50,2006-04-11 22:00:00,2006-04-12 04:00:00,-17.0,-23.358925
51,2006-04-11 23:00:00,2006-04-12 05:00:00,-17.0,-21.421623
52,2006-04-12 00:00:00,2006-04-12 06:00:00,-15.0,-18.644388
53,2006-04-12 01:00:00,2006-04-12 07:00:00,-12.000000000000004,-18.289549
54,2006-04-12 02:00:00,2006-04-12 08:00:00,-12.000000000000004,-16.954376
55,2006-04-12 03:00:00,2006-04-12 09:00:00,-13.0,-16.347368
56,2006-04-12 04:00:00,2006-04-12 10:00:00,-16.0,-15.723612
57,2006-04-12 05:00:00,2006-04-12 11:00:00,-17.0,-14.811571
58,2006-04-12 06:00:00,2006-04-12 12:00:00,-16.0,-13.204876
59,2006-04-12 07:00:00,2006-04-12 13:00:00,-14.0,-11.686317
60,2006-04-12 08:00:00,2006-04-12 14:00:00,-14.0,-10.551395
61,2006-04-12 09:00:00,2006-04-12 15:00:00,-13.0,-11.299747
62,2006-04-12 10:00:00,2006-04-12 16:00:00,-12.000000000000004,-12.690287
63,2006-04-12 11:00:00,2006-04-12 17:00:00,-12.000000000000004,-13.138348
64,2006-04-12 12:00:00,2006-04-12 18:00:00,-11.0,-13.040365
65,2006-04-12 13:00:00,2006-04-12 19:00:00,-13.0,-11.133699
66,2006-04-12 14:00:00,2006-04-12 20:00:00,-15.0,-11.613192
67,2006-04-12 15:00:00,2006-04-12 21:00:00,-14.0,-10.747196
68,2006-04-12 16:00:00,2006-04-12 22:00:00,-11.0,-8.986601
69,2006-04-12 17:00:00,2006-04-12 23:00:00,-9.0,-8.766663
70,2006-04-12 18:00:00,2006-04-13 00:00:00,-7.0000000000000036,-9.103352
71,2006-04-12 19:00:00,2006-04-13 01:00:00,-3.0,-7.1679053
72,2006-04-12 20:00:00,2006-04-13 02:00:00,1.0,-7.141601
73,2006-04-12 21:00:00,2006-04-13 03:00:00,-1.0,-7.9389796
74,2006-04-12 22:00:00,2006-04-13 04:00:00,0.0,-11.3610115
75,2006-04-12 23:00:00,2006-04-13 05:00:00,5.0,-8.49287
76,2006-04-13 00:00:00,2006-04-13 06:00:00,2.0,-4.51983
77,2006-04-13 01:00:00,2006-04-13 07:00:00,-1.9999999999999964,-3.305097
78,2006-04-13 02:00:00,2006-04-13 08:00:00,-13.0,-2.3086848
79,2006-04-13 03:00:00,2006-04-13 09:00:00,-18.0,-3.3907409
80,2006-04-13 04:00:00,2006-04-13 10:00:00,-13.0,-3.3481784
81,2006-04-13 05:00:00,2006-04-13 11:00:00,-10.0,-5.0131717
82,2006-04-13 06:00:00,2006-04-13 12:00:00,4.0,-8.631962
83,2006-04-13 07:00:00,2006-04-13 13:00:00,11.0,-18.343838
84,2006-04-13 08:00:00,2006-04-13 14:00:00,17.0,-16.469198
85,2006-04-13 09:00:00,2006-04-13 15:00:00,14.0,-15.163979
86,2006-04-13 10:00:00,2006-04-13 16:00:00,3.0,-23.347898
87,2006-04-13 11:00:00,2006-04-13 17:00:00,-8.0,-19.620829
88,2006-04-13 12:00:00,2006-04-13 18:00:00,-7.0000000000000036,-19.743948
89,2006-04-13 13:00:00,2006-04-13 19:00:00,-6.0,-12.075928
90,2006-04-13 14:00:00,2006-04-13 20:00:00,-1.0,-14.438387
91,2006-04-13 15:00:00,2006-04-13 21:00:00,0.0,-19.303213
92,2006-04-13 16:00:00,2006-04-13 22:00:00,-8.0,-15.642429
93,2006-04-13 17:00:00,2006-04-13 23:00:00,-3.0,-15.941343
94,2006-04-13 18:00:00,2006-04-14 00:00:00,0.0,-13.608294
95,2006-04-13 19:00:00,2006-04-14 01:00:00,-8.0,-10.640093
96,2006-04-13 20:00:00,2006-04-14 02:00:00,-14.0,-9.580818
97,2006-04-13 21:00:00,2006-04-14 03:00:00,-21.0,-13.854561
98,2006-04-13 22:00:00,2006-04-14 04:00:00,-48.0,-15.000998
99,2006-04-13 23:00:00,2006-04-14 05:00:00,-70.0,-17.779608
100,2006-04-14 00:00:00,2006-04-14 06:00:00,-77.0,-24.68167
101,2006-04-14 01:00:00,2006-04-14 07:00:00,-82.0,-32.653576
102,2006-04-14 02:00:00,2006-04-14 08:00:00,-82.0,-42.065117
103,2006-04-14 03:00:00,2006-04-14 09:00:00,-98.0,-76.27576
104,2006-04-14 04:00:00,2006-04-14 10:00:00,-78.0,-95.82041
105,2006-04-14 05:00:00,2006-04-14 11:00:00,-75.0,-94.54204
106,2006-04-14 06:00:00,2006-04-14 12:00:00,-75.0,-89.22988
107,2006-04-14 07:00:00,2006-04-14 13:00:00,-72.0,-91.3194
108,2006-04-14 08:00:00,2006-04-14 14:00:00,-69.0,-89.54153
109,2006-04-14 09:00:00,2006-04-14 15:00:00,-78.0,-82.50566
110,2006-04-14 10:00:00,2006-04-14 16:00:00,-81.0,-79.45442
111,2006-04-14 11:00:00,2006-04-14 17:00:00,-77.0,-66.90355
112,2006-04-14 12:00:00,2006-04-14 18:00:00,-68.0,-56.430553
113,2006-04-14 13:00:00,2006-04-14 19:00:00,-69.0,-51.96186
114,2006-04-14 14:00:00,2006-04-14 20:00:00,-74.0,-51.420067
115,2006-04-14 15:00:00,2006-04-14 21:00:00,-73.0,-56.471844
116,2006-04-14 16:00:00,2006-04-14 22:00:00,-61.0,-65.99404
117,2006-04-14 17:00:00,2006-04-14 23:00:00,-51.0,-65.76612
118,2006-04-14 18:00:00,2006-04-15 00:00:00,-47.0,-67.12972
119,2006-04-14 19:00:00,2006-04-15 01:00:00,-48.0,-68.627525
120,2006-04-14 20:00:00,2006-04-15 02:00:00,-55.0,-72.34696
121,2006-04-14 21:00:00,2006-04-15 03:00:00,-52.0,-66.425064
122,2006-04-14 22:00:00,2006-04-15 04:00:00,-48.0,-64.755844
123,2006-04-14 23:00:00,2006-04-15 05:00:00,-44.0,-67.72926
124,2006-04-15 00:00:00,2006-04-15 06:00:00,-43.0,-60.46363
125,2006-04-15 01:00:00,2006-04-15 07:00:00,-40.0,-56.568153
126,2006-04-15 02:00:00,2006-04-15 08:00:00,-39.0,-56.263157
127,2006-04-15 03:00:00,2006-04-15 09:00:00,-47.0,-56.636524
128,2006-04-15 04:00:00,2006-04-15 10:00:00,-39.0,-50.16182
129,2006-04-15 05:00:00,2006-04-15 11:00:00,-43.0,-48.31432
130,2006-04-15 06:00:00,2006-04-15 12:00:00,-45.0,-44.716194
131,2006-04-15 07:00:00,2006-04-15 13:00:00,-41.0,-48.242367
132,2006-04-15 08:00:00,2006-04-15 14:00:00,-46.0,-52.97203
133,2006-04-15 09:00:00,2006-04-15 15:00:00,-51.0,-49.85233
134,2006-04-15 10:00:00,2006-04-15 16:00:00,-52.0,-47.43824
135,2006-04-15 11:00:00,2006-04-15 17:00:00,-55.0,-46.61566
136,2006-04-15 12:00:00,2006-04-15 18:00:00,-51.0,-43.00657
137,2006-04-15 13:00:00,2006-04-15 19:00:00,-49.0,-42.217438
138,2006-04-15 14:00:00,2006-04-15 20:00:00,-52.0,-43.496323
139,2006-04-15 15:00:00,2006-04-15 21:00:00,-54.0,-46.416336
140,2006-04-15 16:00:00,2006-04-15 22:00:00,-55.0,-47.90141
141,2006-04-15 17:00:00,2006-04-15 23:00:00,-53.0,-47.477806
142,2006-04-15 18:00:00,2006-04-16 00:00:00,-49.0,-49.017403
143,2006-04-15 19:00:00,2006-04-16 01:00:00,-47.0,-48.762524
144,2006-04-15 20:00:00,2006-04-16 02:00:00,-47.0,-47.951344
145,2006-04-15 21:00:00,2006-04-16 03:00:00,-46.0,-50.640186
146,2006-04-15 22:00:00,2006-04-16 04:00:00,-44.0,-50.09284
147,2006-04-15 23:00:00,2006-04-16 05:00:00,-43.0,-48.20995
148,2006-04-16 00:00:00,2006-04-16 06:00:00,-43.0,-45.132263
149,2006-04-16 01:00:00,2006-04-16 07:00:00,-41.0,-43.25381
150,2006-04-16 02:00:00,2006-04-16 08:00:00,-41.0,-44.156532
151,2006-04-16 03:00:00,2006-04-16 09:00:00,-34.0,-41.208588
152,2006-04-16 04:00:00,2006-04-16 10:00:00,-33.0,-42.554688
153,2006-04-16 05:00:00,2006-04-16 11:00:00,-30.0,-42.79858
154,2006-04-16 06:00:00,2006-04-16 12:00:00,-31.0,-40.96575
155,2006-04-16 07:00:00,2006-04-16 13:00:00,-33.0,-37.70391
156,2006-04-16 08:00:00,2006-04-16 14:00:00,-34.0,-37.476463
157,2006-04-16 09:00:00,2006-04-16 15:00:00,-39.0,-35.26047
158,2006-04-16 10:00:00,2006-04-16 16:00:00,-39.0,-34.967003
159,2006-04-16 11:00:00,2006-04-16 17:00:00,-37.0,-35.031193
160,2006-04-16 12:00:00,2006-04-16 18:00:00,-35.0,-32.573635
161,2006-04-16 13:00:00,2006-04-16 19:00:00,-33.0,-32.402134
162,2006-04-16 14:00:00,2006-04-16 20:00:00,-34.0,-33.76623
163,2006-04-16 15:00:00,2006-04-16 21:00:00,-36.0,-33.89462
164,2006-04-16 16:00:00,2006-04-16 22:00:00,-34.0,-34.33971
165,2006-04-16 17:00:00,2006-04-16 23:00:00,-32.0,-34.0382
166,2006-04-16 18:00:00,2006-04-17 00:00:00,-27.0,-32.067368
167,2006-04-16 19:00:00,2006-04-17 01:00:00,-26.0,-34.034687
168,2006-04-16 20:00:00,2006-04-17 02:00:00,-30.0,-33.707092
169,2006-04-16 21:00:00,2006-04-17 03:00:00,-32.0,-32.663574
170,2006-04-16 22:00:00,2006-04-17 04:00:00,-35.0,-31.786776
171,2006-04-16 23:00:00,2006-04-17 05:00:00,-37.0,-30.544203
172,2006-04-17 00:00:00,2006-04-17 06:00:00,-34.0,-29.381104
173,2006-04-17 01:00:00,2006-04-17 07:00:00,-29.0,-27.390303
174,2006-04-17 02:00:00,2006-04-17 08:00:00,-25.0,-29.93499
175,2006-04-17 03:00:00,2006-04-17 09:00:00,-24.0,-27.649223
176,2006-04-17 04:00:00,2006-04-17 10:00:00,-24.0,-27.496496
177,2006-04-17 05:00:00,2006-04-17 11:00:00,-23.0,-28.535767
178,2006-04-17 06:00:00,2006-04-17 12:00:00,-21.0,-28.347572
179,2006-04-17 07:00:00,2006-04-17 13:00:00,-21.0,-29.211657
180,2006-04-17 08:00:00,2006-04-17 14:00:00,-23.0,-28.844135
181,2006-04-17 09:00:00,2006-04-17 15:00:00,-25.0,-26.230772
182,2006-04-17 10:00:00,2006-04-17 16:00:00,-24.0,-26.106249
183,2006-04-17 11:00:00,2006-04-17 17:00:00,-20.0,-25.08637
184,2006-04-17 12:00:00,2006-04-17 18:00:00,-17.0,-23.713816
185,2006-04-17 13:00:00,2006-04-17 19:00:00,-13.0,-24.651503
186,2006-04-17 14:00:00,2006-04-17 20:00:00,-15.0,-23.531273
187,2006-04-17 15:00:00,2006-04-17 21:00:00,-22.0,-23.252832
188,2006-04-17 16:00:00,2006-04-17 22:00:00,-27.0,-21.316458
189,2006-04-17 17:00:00,2006-04-17 23:00:00,-29.0,-20.209032
190,2006-04-17 18:00:00,2006-04-18 00:00:00,-35.0,-18.565107
191,2006-04-17 19:00:00,2006-04-18 01:00:00,-37.0,-20.58543
192,2006-04-17 20:00:00,2006-04-18 02:00:00,-38.0,-23.783165
193,2006-04-17 21:00:00,2006-04-18 03:00:00,-34.0,-25.363237
194,2006-04-17 22:00:00,2006-04-18 04:00:00,-35.0,-24.45191
195,2006-04-17 23:00:00,2006-04-18 05:00:00,-35.0,-36.55122
196,2006-04-18 00:00:00,2006-04-18 06:00:00,-34.0,-37.52848
197,2006-04-18 01:00:00,2006-04-18 07:00:00,-32.0,-33.83571
198,2006-04-18 02:00:00,2006-04-18 08:00:00,-29.0,-34.4287
199,2006-04-18 03:00:00,2006-04-18 09:00:00,-27.0,-31.460697
200,2006-04-18 04:00:00,2006-04-18 10:00:00,-26.0,-31.291094
201,2006-04-18 05:00:00,2006-04-18 11:00:00,-25.0,-28.819527
202,2006-04-18 06:00:00,2006-04-18 12:00:00,-25.0,-29.47907
203,2006-04-18 07:00:00,2006-04-18 13:00:00,-26.0,-28.575981
204,2006-04-18 08:00:00,2006-04-18 14:00:00,-27.0,-25.774414
205,2006-04-18 09:00:00,2006-04-18 15:00:00,-27.0,-25.388348
206,2006-04-18 10:00:00,2006-04-18 16:00:00,-25.0,-25.67053
207,2006-04-18 11:00:00,2006-04-18 17:00:00,-23.0,-24.081001
208,2006-04-18 12:00:00,2006-04-18 18:00:00,-22.0,-22.536833
209,2006-04-18 13:00:00,2006-04-18 19:00:00,-22.0,-22.505066
210,2006-04-18 14:00:00,2006-04-18 20:00:00,-21.0,-22.519304
211,2006-04-18 15:00:00,2006-04-18 21:00:00,-23.0,-22.974438
212,2006-04-18 16:00:00,2006-04-18 22:00:00,-20.0,-23.079859
213,2006-04-18 17:00:00,2006-04-18 23:00:00,-20.0,-22.980476
214,2006-04-18 18:00:00,2006-04-19 00:00:00,-23.0,-23.070341
215,2006-04-18 19:00:00,2006-04-19 01:00:00,-25.0,-22.986523
216,2006-04-18 20:00:00,2006-04-19 02:00:00,-22.0,-23.342478
217,2006-04-18 21:00:00,2006-04-19 03:00:00,-23.0,-24.52222
218,2006-04-18 22:00:00,2006-04-19 04:00:00,-23.0,-25.09675
219,2006-04-18 23:00:00,2006-04-19 05:00:00,-24.0,-20.51253
220,2006-04-19 00:00:00,2006-04-19 06:00:00,-22.0,-18.751923
221,2006-04-19 01:00:00,2006-04-19 07:00:00,-19.0,-20.497047
222,2006-04-19 02:00:00,2006-04-19 08:00:00,-18.0,-21.30787
