,number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
0,0,15.38203927193121,2024-07-20 16:03:37.996845,2024-07-20 16:03:38.193226,0 days 00:00:00.196381,1000.0,1.0,5,10.0,scale,poly,0,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
1,1,0.23516795603081125,2024-07-20 16:03:38.797090,2024-07-20 16:03:41.451413,0 days 00:00:02.654323,0.001,1.0,4,0.01,scale,poly,1,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
2,2,15.38203927193121,2024-07-20 16:03:41.508117,2024-07-20 16:03:41.691311,0 days 00:00:00.183194,1.0,0.1,5,10.0,scale,poly,2,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
3,3,15.38203927193121,2024-07-20 16:03:41.733103,2024-07-20 16:03:41.928381,0 days 00:00:00.195278,1.0,1.0,5,10.0,scale,poly,3,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
4,4,176.3987134635671,2024-07-20 16:03:41.976892,2024-07-20 16:03:43.656572,0 days 00:00:01.679680,1.0,0.1,5,0.31622776601683794,scale,poly,4,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
5,5,0.6554351475333461,2024-07-20 16:03:43.714793,2024-07-20 16:03:46.238300,0 days 00:00:02.523507,0.001,0.1,3,0.01,scale,poly,5,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
6,6,0.6183460896368094,2024-07-20 16:03:46.289517,2024-07-20 16:03:47.037387,0 days 00:00:00.747870,0.001,1.0,5,0.31622776601683794,scale,poly,6,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
7,7,15.38203927193121,2024-07-20 16:03:47.098357,2024-07-20 16:03:47.294213,0 days 00:00:00.195856,1.0,1.0,4,10.0,scale,poly,7,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
8,8,15.38203927193121,2024-07-20 16:03:47.340460,2024-07-20 16:03:47.525369,0 days 00:00:00.184909,0.001,1.0,3,10.0,scale,poly,8,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
9,9,208.89751822213475,2024-07-20 16:03:47.568305,2024-07-20 16:03:53.153121,0 days 00:00:05.584816,1.0,0.1,5,0.01,scale,poly,9,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
10,10,,2024-07-20 16:03:53.209240,2024-07-20 16:05:53.449471,0 days 00:02:00.240231,1000.0,0.1,3,0.01,scale,poly,10,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
11,11,0.6990352174213729,2024-07-20 16:05:53.489266,2024-07-20 16:05:56.170453,0 days 00:00:02.681187,0.001,0.1,4,0.01,scale,poly,11,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
12,12,2.4442032193692,2024-07-20 16:05:56.239468,2024-07-20 16:05:58.422461,0 days 00:00:02.182993,1000.0,1.0,5,0.31622776601683794,scale,poly,12,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
13,13,15.38203927193121,2024-07-20 16:05:58.486417,2024-07-20 16:05:58.669589,0 days 00:00:00.183172,1000.0,0.1,3,10.0,scale,poly,13,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
14,14,0.6614097205921574,2024-07-20 16:05:58.713703,2024-07-20 16:06:00.496297,0 days 00:00:01.782594,0.001,0.1,3,0.31622776601683794,scale,poly,14,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
15,15,,2024-07-20 16:06:00.539098,2024-07-20 16:08:00.723388,0 days 00:02:00.184290,1000.0,1.0,4,0.01,scale,poly,15,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
16,16,344.16106293108083,2024-07-20 16:08:00.760297,2024-07-20 16:08:02.798343,0 days 00:00:02.038046,1000.0,0.1,5,0.31622776601683794,scale,poly,16,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
17,17,46.51228318703301,2024-07-20 16:08:02.977873,2024-07-20 16:10:01.454377,0 days 00:01:58.476504,1000.0,1.0,5,0.01,scale,poly,17,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
18,18,261.6895417825566,2024-07-20 16:10:01.513365,2024-07-20 16:10:52.436627,0 days 00:00:50.923262,1000.0,0.1,4,0.01,scale,poly,18,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
19,19,15.38203927193121,2024-07-20 16:10:52.491905,2024-07-20 16:10:53.202066,0 days 00:00:00.710161,1.0,0.1,4,10.0,scale,poly,19,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
20,20,,2024-07-20 16:10:53.296093,2024-07-20 16:12:53.563138,0 days 00:02:00.267045,1000.0,1.0,3,0.01,scale,poly,20,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",FAIL
21,21,0.6971254686920614,2024-07-20 16:12:53.609411,2024-07-20 16:12:55.438598,0 days 00:00:01.829187,0.001,0.1,4,0.31622776601683794,scale,poly,21,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
22,22,15.38203927193121,2024-07-20 16:12:55.497760,2024-07-20 16:12:55.709022,0 days 00:00:00.211262,0.001,1.0,4,10.0,scale,poly,22,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
23,23,0.2430254378184761,2024-07-20 16:12:55.755636,2024-07-20 16:12:56.749681,0 days 00:00:00.994045,0.001,1.0,3,0.31622776601683794,scale,poly,23,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
24,24,0.39449598141063585,2024-07-20 16:12:56.795695,2024-07-20 16:12:57.751005,0 days 00:00:00.955310,1.0,1.0,4,0.31622776601683794,scale,poly,24,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
25,25,14.321765386979717,2024-07-20 16:12:57.795111,2024-07-20 16:13:21.655102,0 days 00:00:23.859991,1.0,1.0,5,0.01,scale,poly,25,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
26,26,2.529255785916604,2024-07-20 16:13:21.708732,2024-07-20 16:13:24.684209,0 days 00:00:02.975477,1000.0,0.1,3,0.31622776601683794,scale,poly,26,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
27,27,2.9229076941089636,2024-07-20 16:13:24.729141,2024-07-20 16:13:31.458630,0 days 00:00:06.729489,1.0,0.1,3,0.01,scale,poly,27,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
28,28,4.818811961218505,2024-07-20 16:13:31.503072,2024-07-20 16:13:50.694886,0 days 00:00:19.191814,1.0,1.0,4,0.01,scale,poly,28,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
29,29,15.38203927193121,2024-07-20 16:13:50.743622,2024-07-20 16:13:50.936241,0 days 00:00:00.192619,0.001,0.1,4,10.0,scale,poly,29,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
30,30,0.5541867542629225,2024-07-20 16:13:50.980784,2024-07-20 16:13:53.952899,0 days 00:00:02.972115,0.001,1.0,5,0.01,scale,poly,30,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
31,31,15.38203927193121,2024-07-20 16:13:53.994896,2024-07-20 16:13:54.199135,0 days 00:00:00.204239,1.0,1.0,3,10.0,scale,poly,31,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
32,32,14.635518102029744,2024-07-20 16:13:54.242600,2024-07-20 16:13:56.249580,0 days 00:00:02.006980,1000.0,0.1,4,0.31622776601683794,scale,poly,32,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
33,33,15.38203927193121,2024-07-20 16:13:56.305309,2024-07-20 16:13:56.505030,0 days 00:00:00.199721,1000.0,0.1,4,10.0,scale,poly,33,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
34,34,15.38203927193121,2024-07-20 16:13:56.548841,2024-07-20 16:13:56.740041,0 days 00:00:00.191200,0.001,0.1,5,10.0,scale,poly,34,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
35,35,0.7674208873547581,2024-07-20 16:13:56.781358,2024-07-20 16:13:57.688341,0 days 00:00:00.906983,1.0,1.0,5,0.31622776601683794,scale,poly,35,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
36,36,1.5441782675570297,2024-07-20 16:13:57.734940,2024-07-20 16:14:00.380522,0 days 00:00:02.645582,0.001,0.1,5,0.01,scale,poly,36,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
37,37,6.304284633236268,2024-07-20 16:14:00.434645,2024-07-20 16:14:01.580021,0 days 00:00:01.145376,1.0,0.1,4,0.31622776601683794,scale,poly,37,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
38,38,1.4689110279135593,2024-07-20 16:14:01.627537,2024-07-20 16:14:03.532750,0 days 00:00:01.905213,0.001,0.1,5,0.31622776601683794,scale,poly,38,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
39,39,15.38203927193121,2024-07-20 16:14:03.674391,2024-07-20 16:14:03.869700,0 days 00:00:00.195309,1000.0,0.1,5,10.0,scale,poly,39,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
40,40,0.21416085503133275,2024-07-20 16:14:03.917538,2024-07-20 16:14:06.441606,0 days 00:00:02.524068,0.001,1.0,3,0.01,scale,poly,40,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
41,41,15.38203927193121,2024-07-20 16:14:06.498457,2024-07-20 16:14:06.776592,0 days 00:00:00.278135,1000.0,1.0,4,10.0,scale,poly,41,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
42,42,15.38203927193121,2024-07-20 16:14:06.824107,2024-07-20 16:14:07.008421,0 days 00:00:00.184314,0.001,0.1,3,10.0,scale,poly,42,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
43,43,0.2946056027254056,2024-07-20 16:14:07.054548,2024-07-20 16:14:07.957129,0 days 00:00:00.902581,1.0,1.0,3,0.31622776601683794,scale,poly,43,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
44,44,15.38203927193121,2024-07-20 16:14:08.015022,2024-07-20 16:14:08.206718,0 days 00:00:00.191696,1.0,0.1,3,10.0,scale,poly,44,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
45,45,0.25711765703858197,2024-07-20 16:14:08.250231,2024-07-20 16:14:09.090008,0 days 00:00:00.839777,0.001,1.0,4,0.31622776601683794,scale,poly,45,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
46,46,2.6722021583436666,2024-07-20 16:14:09.141513,2024-07-20 16:14:10.325576,0 days 00:00:01.184063,1.0,0.1,3,0.31622776601683794,scale,poly,46,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
47,47,939.0375882815739,2024-07-20 16:14:10.385372,2024-07-20 16:14:44.478217,0 days 00:00:34.092845,1000.0,0.1,5,0.01,scale,poly,47,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
48,48,15.819673507850998,2024-07-20 16:14:44.534245,2024-07-20 16:14:51.350512,0 days 00:00:06.816267,1.0,0.1,4,0.01,scale,poly,48,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
49,49,0.949876044860001,2024-07-20 16:14:51.468169,2024-07-20 16:15:06.345479,0 days 00:00:14.877310,1.0,1.0,3,0.01,scale,poly,49,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
50,50,1.0713923676826675,2024-07-20 16:15:06.407312,2024-07-20 16:15:11.402538,0 days 00:00:04.995226,1000.0,1.0,3,0.31622776601683794,scale,poly,50,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
51,51,15.38203927193121,2024-07-20 16:15:11.484184,2024-07-20 16:15:11.677595,0 days 00:00:00.193411,0.001,1.0,5,10.0,scale,poly,51,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
52,52,15.38203927193121,2024-07-20 16:15:11.724932,2024-07-20 16:15:11.942766,0 days 00:00:00.217834,1000.0,1.0,3,10.0,scale,poly,52,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
53,53,1.2449867620307435,2024-07-20 16:15:11.987811,2024-07-20 16:15:14.496429,0 days 00:00:02.508618,1000.0,1.0,4,0.31622776601683794,scale,poly,53,"{'C': [0.001, 1.0, 1000.0], 'coef0': [0.1, 1], 'degree': [3, 4, 5], 'epsilon': [0.01, 0.31622776601683794, 10.0], 'gamma': ['scale'], 'kernel': ['poly']}",COMPLETE
